Package,Current,Wanted,Latest,Package,Type,URL,
@expo/vector-icons,6.2.2,6.3.1,6.3.1,dependencies,https://expo.github.io/vector-icons,
apollo-cache-inmemory,1.1.5,1.1.12,1.1.12,dependencies,https://github.com/apollographql/apollo-client#readme,
apollo-client,2.2.0,2.2.8,2.2.8,dependencies,https://github.com/apollographql/apollo-client#readme,
apollo-link-http,1.3.2,1.5.3,1.5.3,dependencies,https://github.com/apollographql/apollo-link#readme,
expo,23.0.6,23.0.6,26.0.0,dependencies,https://github.com/expo/expo-sdk,
graphql,0.12.3,0.12.3,0.13.2,dependencies,https://github.com/graphql/graphql-js,
graphql-tag,2.6.1,2.8.0,2.8.0,dependencies,https://github.com/apollostack/graphql-tag#readme,
jest-expo,23.0.0,23.0.0,26.0.0,devDependencies,https://github.com/expo/jest-expo#readme,
native-base,2.3.7,2.4.1,2.4.1,dependencies,https://github.com/GeekyAnts/NativeBase#readme,
react,16.0.0,16.0.0,16.3.1,dependencies,https://reactjs.org/,
react-apollo,2.0.4,2.1.3,2.1.3,dependencies,https://github.com/apollostack/react-apollo#readme,
react-native,0.50.3,0.50.3,0.55.2,dependencies,https://github.com/facebook/react-native#readme,
react-native-scripts,1.9.0,1.9.0,1.13.1,devDependencies,https://github.com/react-community/create-react-native-app,
react-navigation,1.0.0-beta.27,1.5.11,1.5.11,dependencies,https://github.com/react-navigation/react-navigation#readme
react-test-renderer,16.0.0,16.0.0,16.3.1,devDependencies,https://reactjs.org/,
,,,,,,,
link to migration guides and docs,,,,,,,
https://docs.google.com/spreadsheets/d/180hB7D15IOS3Mjh-KFC92BNwhCN_lFqGSe2_Ybk-UtI/edit?usp=sharing ,,,,,,,
